situation_id,rsq001,rsq002,rsq003,rsq004,rsq005,rsq006,rsq007,rsq008,rsq009,rsq010,rsq011,rsq012,rsq013,rsq014,rsq015,rsq016,rsq017,rsq018,rsq019,rsq020,rsq021,rsq022,rsq023,rsq024,rsq025,rsq026,rsq027,rsq028,rsq029,rsq030,rsq031,rsq032,rsq033,rsq034,rsq035,rsq036,rsq037,rsq038,rsq039,rsq040,rsq041,rsq042,rsq043,rsq044,rsq045,rsq046,rsq047,rsq048,rsq049,rsq050,rsq051,rsq052,rsq053,rsq054,rsq055,rsq056,rsq057,rsq058,rsq059,rsq060,rsq061,rsq062,rsq063,rsq064,rsq065,rsq066,rsq067,rsq068,rsq069,rsq070,rsq071,rsq072,rsq073,rsq074,rsq075,rsq076,rsq077,rsq078,rsq079,rsq080,rsq081,rsq082,rsq083,rsq084,rsq085,rsq086,rsq087,rsq088,rsq089
sit_4472,0.4,0.0,-0.8,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-0.4,-0.6,-0.6,-0.2,-0.2,0.4,0.0,-0.4,0.0,0.0,0.0,0.0,-0.2,-0.4,0.0,0.0,-0.4,0.0,0.4,0.0,-0.6,0.0,-0.2,0.2,0.0,0.2,0.0,-0.2,0.0,-0.2,-0.2,0.2,0.0,0.2,-0.2,-0.2,0.0,-0.2,0.2,-0.2,-0.2,-0.2,0.8,0.0,0.4,0.0,0.8,0.0,-0.6,0.0,0.2,0.0,0.0,0.0,-0.2,0.0,-0.2,0.2,-0.2,0.2,0.0,0.2,0.2,0.2,0.4,-0.2,0.0,0.0,0.2,-0.4,0.2,0.0,0.2,-0.4,0.0,-0.2,0.2
sit_4473,0.2,-0.8,-0.2,0.0,0.0,-0.4,-0.4,-0.6,0.0,0.2,0.2,0.2,-0.4,0.0,0.2,-0.8,-0.4,0.4,0.0,0.0,0.2,0.4,-0.2,-0.2,-0.4,-0.2,-0.6,0.2,0.0,0.0,-0.2,0.0,-0.4,0.2,0.0,0.0,0.0,-0.2,0.2,0.0,-0.2,-0.4,-0.6,0.4,0.0,-0.2,0.2,-0.4,0.0,-0.2,0.4,0.0,0.0,-0.2,0.0,0.6,0.6,-0.2,0.2,-0.4,0.0,0.4,0.2,0.0,0.6,0.2,0.0,-0.6,0.0,0.6,0.0,0.0,0.4,0.6,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.4,0.8,-0.2,0.0,-0.4,0.0,-0.2,0.0
sit_4474,-0.2,0.2,0.4,-0.2,-0.2,0.0,0.2,0.0,-0.4,1.0,0.0,0.0,-0.2,-0.4,0.0,0.2,0.0,-0.4,0.2,-0.6,0.4,0.2,0.4,0.0,0.2,0.4,0.0,-1.0,-0.6,0.6,0.2,0.2,0.2,0.6,-0.8,0.0,0.6,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.4,0.0,0.4,0.6,0.0,0.2,-0.2,-0.4,0.6,0.2,-0.4,-0.2,0.0,-0.4,0.0,0.4,0.0,-0.2,0.0,-0.2,-0.4,0.8,0.2,0.2,-0.2,0.0,-0.2,0.0,0.0,-0.4,0.4,-0.2,-0.4,0.0,0.0,-0.4,-0.4,0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.0
sit_4475,0.2,-0.4,-1.0,-0.2,0.2,-0.2,-0.6,-0.6,-0.4,-0.8,-0.8,-0.4,-0.4,0.0,1.0,0.0,0.8,-0.8,0.2,0.0,1.0,-1.0,0.2,-0.6,-0.6,-0.8,0.2,-0.2,0.0,-0.4,0.2,-0.4,0.6,-0.2,0.0,0.8,0.8,0.2,0.0,0.2,-0.4,0.6,0.8,1.0,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.2,-0.2,0.6,0.6,0.2,-0.2,-0.2,0.2,0.0,-0.6,-0.2,0.2,0.4,0.2,0.6,0.0,-0.2,-0.4,-0.4,-0.6,0.0,0.4,0.0,-0.6,0.4,0.4,-0.4,0.6,-0.2,0.0,0.0,0.2
sit_4476,-0.2,0.6,0.6,0.0,0.0,0.0,-0.2,-0.2,-0.4,-0.8,0.4,0.0,0.2,-0.4,0.0,-0.4,-0.2,-0.2,0.0,-0.4,-0.2,0.0,-0.2,0.2,0.8,0.4,0.2,-0.6,-0.8,0.2,-0.4,0.0,0.2,0.2,-0.6,1.0,0.6,0.0,0.6,0.0,-1.0,0.4,0.6,0.4,0.0,-0.2,-0.2,0.4,0.0,0.2,0.0,0.0,0.4,-0.2,-0.2,-0.6,-0.4,0.4,0.2,0.0,0.8,0.0,-0.2,-0.4,-0.2,1.8,0.2,0.6,1.0,0.0,0.2,0.6,-0.2,0.0,0.6,0.6,-0.6,-0.2,0.0,-0.2,-0.6,0.0,-0.6,-0.6,-0.6,-0.4,0.2,-0.6,-0.4
sit_4477,-0.4,0.0,-0.2,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.2,-0.8,0.0,0.0,1.4,0.4,-0.4,0.0,0.0,0.6,0.4,1.0,-0.2,-0.2,0.2,-0.2,-0.2,0.0,0.4,-0.2,-0.2,0.2,0.8,-0.2,0.0,0.6,0.4,0.4,-0.2,0.2,-0.2,0.6,0.0,0.4,0.0,0.2,0.2,-0.6,0.2,-0.6,0.0,0.0,0.4,-0.2,0.2,0.0,0.6,0.0,0.0,0.6,0.6,-0.2,-0.2,-0.8,-0.2,-0.2,-0.2,-0.2,-0.4,-0.6,0.0,0.0,-0.2,-0.4,0.0,0.0,0.0,1.0,-0.6,0.4,0.6,-0.4,0.4,0.2,0.0,0.4,0.2,-0.6
sit_4478,0.2,0.4,0.2,0.0,0.0,-0.2,0.0,0.8,-0.2,0.2,0.0,0.4,-0.2,0.0,0.6,0.4,0.2,0.0,0.0,0.8,0.2,0.2,0.4,0.2,-0.6,-0.2,0.0,0.4,0.4,0.2,-0.2,0.4,0.2,0.0,-0.4,0.6,0.0,0.0,0.4,0.2,-0.4,0.4,0.0,0.2,0.2,-0.2,0.4,0.0,-0.2,-0.2,0.0,0.2,-0.2,-0.2,0.8,0.2,0.0,0.0,0.8,0.0,-0.6,0.0,0.4,0.4,-0.4,-0.2,-0.8,-0.8,-0.4,-0.2,0.0,0.0,0.0,-0.2,0.0,0.2,-0.2,0.6,0.0,-0.2,-0.6,-0.4,-0.4,0.2,0.4,-0.2,-0.6,0.0,-0.2
sit_4479,0.4,0.4,0.4,0.0,0.0,0.2,0.2,-0.2,0.2,0.4,-0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.2,-0.2,0.4,0.2,0.2,0.2,0.0,-0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,-0.2,0.2,0.0,-0.2,0.4,-0.2,0.0,0.2,-0.2,0.0,0.0,-0.4,-0.2,0.2,0.2,-0.4,-0.6,0.4,-0.4,-0.4,0.4,-0.6,0.2,-0.4,-0.6,-0.2,-0.2,0.0,0.2,0.6,-0.4,0.4,-0.4,-0.2,0.0,0.0,-0.2,-0.6,0.0,-0.4,-0.2,-0.4,0.4,0.2,0.0
sit_4480,0.4,0.0,0.4,-0.6,-0.2,0.0,0.0,-0.6,0.4,0.2,0.0,0.2,1.2,0.2,-0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.6,0.2,0.0,0.4,0.6,-0.2,0.4,-0.4,0.0,-0.2,0.6,0.0,0.0,-0.2,0.0,-0.4,0.4,0.0,0.4,-0.2,-0.4,-0.2,0.2,-0.2,0.2,0.0,-0.2,0.8,0.2,-0.6,-0.8,-0.4,-0.2,-0.2,0.0,0.2,0.0,-0.4,-0.4,-0.6,1.0,0.0,0.8,0.2,0.0,0.0,0.2,0.0,-0.2,0.0,-0.2,-0.4,-1.0,0.0,0.0,-0.2,0.2,-0.6,0.0,-0.2,0.0,-0.2,0.4,-0.4
sit_4481,-0.2,-0.2,0.4,0.0,0.0,-0.2,0.4,0.0,-0.4,-0.4,0.4,-0.2,0.0,-0.2,0.0,0.6,0.2,0.0,0.0,-0.2,0.6,0.4,0.4,0.0,-0.4,0.6,0.0,-0.2,0.0,0.2,0.2,0.2,0.4,0.6,-0.2,0.4,0.0,0.4,0.6,0.2,0.0,0.2,0.0,0.0,0.4,0.2,0.8,0.6,0.0,0.2,-0.4,-0.2,0.4,0.8,-0.2,-0.6,-0.2,0.2,-0.2,0.4,0.8,1.2,-0.6,-0.2,-0.2,-0.4,-0.2,0.0,0.0,0.2,0.0,0.0,-0.2,-0.2,-0.2,0.0,-0.4,0.0,0.0,0.0,-0.2,0.6,-0.8,-0.2,-0.2,0.0,-0.2,0.0,-0.2
sit_4482,0.4,-0.2,-0.4,0.0,0.2,-0.2,0.2,0.0,-0.2,0.2,-0.2,0.0,0.0,0.6,-0.4,-0.6,0.0,0.0,0.0,0.2,-0.2,0.2,-0.4,0.0,-0.2,0.6,0.0,0.0,0.6,0.4,0.0,0.2,-0.2,0.0,-0.4,0.2,-0.4,-0.2,0.4,-0.2,-0.2,-0.2,0.2,0.4,0.0,-0.2,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.6,-0.2,0.4,0.0,0.2,0.2,0.2,0.4,0.0,0.6,-0.2,-0.2,0.0,0.4,-0.4,-0.4,-0.2,0.0,0.0,-0.4,-0.4,0.4,0.4,-0.4,0.2,0.4,-0.2,0.4,0.0,-0.4,-0.2,0.0,0.4,0.4,0.2,0.2
sit_4483,-0.2,0.2,0.4,0.6,0.4,-0.2,0.0,0.0,-0.4,-0.2,0.0,0.2,0.6,0.0,0.2,-0.2,0.2,-0.4,0.0,-0.4,0.2,0.4,-0.2,-0.4,0.0,0.2,0.0,-0.2,0.0,0.0,0.0,0.2,0.2,0.2,-0.2,0.4,0.2,0.0,0.2,0.2,-0.2,-0.2,0.2,-0.2,-0.2,-0.6,0.0,0.4,0.2,0.0,0.0,0.2,0.6,-0.2,-0.6,0.2,-0.2,-0.2,-0.6,-0.6,0.0,-0.2,0.4,0.0,-0.4,0.2,-0.4,-0.2,-0.2,0.0,0.0,0.0,0.8,0.0,0.2,-0.2,-0.4,0.0,0.2,0.2,0.0,0.2,-0.6,0.4,0.0,0.4,0.0,0.2,-0.2
sit_4484,0.0,0.2,-0.2,0.2,0.6,0.4,0.0,-0.2,0.0,0.2,-0.4,0.2,0.2,-0.2,-0.2,0.2,-0.4,-0.6,0.8,-0.2,-0.4,0.0,0.2,-0.2,0.4,0.6,0.4,-0.4,-0.4,0.2,-0.6,0.2,0.2,0.4,-0.2,0.2,0.0,0.0,0.4,0.0,-0.2,0.2,0.2,0.0,-0.4,-0.4,-0.2,0.2,0.0,0.4,0.2,0.0,0.6,0.4,-0.2,-0.8,-0.2,0.8,-0.6,-0.4,0.4,0.2,-0.2,-0.2,0.2,0.4,0.4,0.0,0.0,0.2,0.4,0.0,-0.2,0.0,0.2,-0.6,-0.4,0.0,0.0,-0.2,0.0,0.4,-0.2,0.2,-0.2,0.8,0.6,-0.2,0.0
sit_4485,0.0,-0.2,0.4,-0.6,0.4,0.2,0.4,0.4,0.2,-0.2,0.0,0.4,-0.4,-0.2,0.0,-0.2,0.2,0.0,0.2,0.2,0.2,0.6,-0.2,0.4,0.2,0.0,-0.2,0.0,0.2,-0.2,-0.4,0.0,0.0,0.0,0.0,-0.4,-0.2,0.0,0.0,0.0,-0.2,-0.2,-0.2,0.0,0.4,-0.4,0.0,0.0,-0.2,0.2,0.4,-0.2,-0.4,0.0,0.2,0.0,0.4,0.2,0.0,-0.2,-0.2,-0.2,0.0,0.2,-0.2,-0.2,0.0,0.0,-0.6,-0.2,-0.2,0.0,-0.2,-0.2,-0.4,0.4,0.2,0.0,0.2,0.2,0.4,0.0,-0.2,-0.4,0.2,0.2,-0.2,0.6,0.8
sit_4486,-0.4,-0.4,0.4,0.0,0.6,-0.4,0.2,0.6,0.4,-0.4,-0.2,0.4,0.2,0.0,0.0,0.4,0.4,-0.4,0.4,0.0,0.0,0.6,0.0,-0.6,0.2,0.4,0.4,-0.4,-0.2,0.0,-0.8,-0.6,-0.2,0.0,0.2,-0.2,0.2,0.4,0.2,0.4,-0.8,0.4,-0.2,0.2,-0.2,0.0,0.4,-0.4,0.0,-0.2,-0.2,-0.2,0.6,0.0,-0.4,0.6,0.0,0.0,0.2,0.0,-0.2,0.6,0.4,0.8,0.0,-0.2,0.0,0.2,-0.2,0.0,0.6,0.0,-0.6,-0.8,0.4,-1.0,-0.4,0.0,0.6,0.2,0.2,-0.2,-0.6,-0.2,0.4,0.0,0.2,0.4,-0.2
sit_4487,0.2,0.0,0.4,0.0,0.0,0.0,-0.4,0.0,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.4,0.2,0.2,0.0,0.4,0.6,0.6,-0.4,0.0,0.2,0.0,0.2,0.4,0.2,-0.8,0.0,0.2,0.2,0.0,0.0,-0.2,0.2,-0.2,0.0,0.2,-0.6,0.0,0.4,0.4,0.2,0.0,-0.2,0.4,0.4,-0.6,0.0,-0.8,0.0,-0.8,-0.2,0.4,0.0,-0.2,0.0,-0.4,0.8,-0.2,0.2,0.2,0.0,0.4,0.0,0.4,-0.2,1.0,0.2,-0.6,0.0,0.2,-0.2,-0.2,-0.2,-0.2,-0.6,0.2,-0.2,0.0,-0.8,-0.6
sit_4488,-0.8,-0.6,0.4,-0.2,-0.2,0.0,-0.4,-0.6,-0.4,0.0,-0.2,-0.2,-0.2,0.0,0.2,-0.6,-1.0,-0.2,0.0,0.0,-0.2,0.2,-0.2,-0.6,0.4,-0.4,-0.4,-0.4,0.6,0.4,-0.6,-0.4,0.8,0.2,-0.2,-0.2,0.6,-0.2,0.6,0.0,0.0,0.2,1.0,0.6,0.0,-0.4,0.0,0.0,0.0,-0.2,0.0,0.0,0.4,-0.4,-0.4,0.0,-0.2,-1.0,0.0,0.2,0.2,-0.2,-0.2,0.4,0.4,0.2,0.0,-0.4,0.6,0.2,0.4,0.0,0.4,1.0,0.2,-0.6,0.0,0.4,0.4,0.0,-0.4,0.2,0.6,-0.2,0.6,-0.2,0.2,0.0,0.2
sit_4489,0.4,0.2,0.6,0.4,0.0,-0.4,0.0,-0.6,-0.2,0.6,0.4,0.6,-0.8,-0.2,0.0,0.2,-0.4,0.0,0.6,0.2,0.2,-0.2,0.0,0.0,-0.6,0.0,0.2,0.2,0.0,-0.4,1.0,0.0,0.0,0.2,-0.4,0.8,0.4,0.0,0.0,-0.6,-0.6,1.0,0.0,0.4,0.0,0.2,0.0,0.2,-0.4,-0.2,-0.4,0.0,-0.6,1.2,-0.6,-0.2,-0.2,-0.4,-0.2,1.4,1.0,-0.2,0.0,0.2,-0.4,0.0,0.2,0.4,0.0,-0.2,-0.6,0.0,0.2,0.0,0.4,0.2,0.0,-0.4,-0.4,0.2,0.0,0.2,0.0,-0.8,0.2,0.2,-0.2,0.0,-0.2
sit_4490,0.2,0.2,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.4,0.0,0.6,0.4,0.6,0.2,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,1.2,0.2,-0.6,0.0,0.0,0.0,-0.2,0.2,-0.4,0.2,0.4,0.2,0.4,0.0,-0.4,0.2,0.2,-0.2,1.0,0.0,0.0,0.2,-0.4,0.0,-0.2,0.2,-0.6,0.0,-0.6,0.0,0.4,-0.2,-0.6,0.0,-0.6,0.0,-0.6,-0.2,-0.6,-0.2,0.0,-0.4,-0.2,-0.2,0.6,1.0,0.0,0.0,0.8,0.0,-0.4,0.0,1.0,0.6,0.0,0.0,0.0,-0.4,0.2,-0.2,0.8,0.0,-0.2
sit_4491,0.0,0.2,-0.2,0.2,-0.4,0.4,0.4,0.0,0.0,-0.2,0.0,0.0,0.4,-0.2,-0.4,0.4,-0.2,-0.2,0.0,0.0,0.2,0.4,0.2,-0.6,-0.2,0.2,0.2,-0.8,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.4,0.6,0.6,0.2,0.6,0.2,-0.2,0.2,0.4,-0.2,0.4,0.6,0.2,-0.2,-0.2,-0.4,0.2,1.0,-0.4,-0.4,-0.4,0.4,-0.4,0.2,1.0,0.8,-0.2,-0.2,-0.6,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,-0.4,0.6,0.0,-0.6,0.0,0.2,0.0,0.2,-0.4,0.6,-1.2,0.0,-0.4,0.0,0.2,-0.6,0.0
sit_4492,-0.4,0.0,0.8,0.2,0.8,0.0,0.0,0.4,0.0,1.2,0.4,0.0,0.8,0.4,-0.4,0.0,-0.4,0.0,0.0,0.8,0.4,0.4,-0.8,0.4,0.6,0.0,0.0,0.0,0.8,0.4,0.0,0.0,0.4,0.2,-0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.6,-0.6,0.0,0.6,0.4,0.4,-0.4,0.8,0.8,-0.2,-0.2,0.0,-0.6,0.0,-0.8,0.0,-0.2,0.0,-1.0,0.0,0.0,1.2,-0.6,-0.2,0.0,-0.4,0.2,0.0,0.0,0.0,0.4,0.2,-0.6,-0.6,0.0,-0.4,0.2,-0.6,-1.0,-0.4,-0.4,0.2,0.4,-0.4,-0.6
sit_4493,-0.6,0.0,0.2,0.0,0.8,0.0,0.0,-0.2,-0.2,0.8,0.2,0.0,0.6,0.0,-0.4,0.0,-0.4,-0.2,0.0,1.0,-0.2,0.6,-0.8,-0.2,0.4,-0.2,0.2,-0.2,0.6,0.6,-0.2,-0.2,0.2,0.0,-0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,-0.4,0.2,0.4,0.4,0.4,-0.4,1.2,1.0,0.0,0.0,0.2,-0.4,-0.2,-0.8,0.0,-0.2,0.0,-0.8,-0.2,-0.2,1.4,-0.4,-0.2,0.0,-0.4,-0.2,0.0,0.0,0.0,0.6,0.4,-0.4,-0.4,0.2,-0.4,0.2,-0.4,-0.8,-0.2,-0.2,0.4,0.6,-0.6,-0.4
sit_4494,0.2,0.0,-0.2,0.0,-0.2,0.0,0.0,0.2,0.0,0.8,0.0,-1.0,0.0,-0.2,0.2,0.2,0.0,-0.2,-0.6,0.2,0.0,-0.2,0.0,-0.2,-0.2,0.4,0.0,0.0,0.0,0.4,0.0,0.2,0.4,-0.4,0.4,0.4,0.0,0.2,0.4,0.4,-0.4,0.2,0.4,0.0,-0.2,-0.2,0.4,-0.4,0.0,0.0,-0.6,0.2,-0.2,0.0,-0.4,0.2,0.0,1.2,0.2,-0.2,0.0,0.8,-0.2,0.4,0.0,-0.4,0.4,-0.2,0.0,-0.2,0.0,0.2,-0.2,-0.4,0.0,-0.2,-0.2,-0.2,0.6,0.2,0.0,-0.2,0.0,-0.6,0.4,0.4,0.4,0.8,0.2
sit_4495,0.0,0.0,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,0.8,0.0,-0.2,0.2,0.2,0.2,0.2,-0.2,-0.8,0.0,-0.2,0.0,-0.2,0.0,0.0,-0.2,0.4,0.8,0.2,0.0,-0.4,-0.2,0.6,-0.4,0.4,-0.2,0.8,0.2,-0.2,0.4,0.0,-0.4,-0.2,0.4,0.0,0.4,-0.2,0.0,-0.4,0.0,0.0,-0.4,0.0,0.6,0.0,-0.8,0.2,-0.4,0.6,-0.6,-0.6,0.6,0.4,0.2,0.2,-0.2,-0.2,0.6,-0.2,0.0,0.0,-0.4,0.2,0.2,-0.4,0.0,-0.2,-0.2,0.0,0.6,0.0,0.2,-0.2,-0.2,0.4,-0.2,-0.2,0.8,0.4,0.0
sit_4496,0.0,-0.2,-0.6,0.4,0.2,0.2,-0.4,0.0,-0.2,0.4,-0.4,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,0.0,0.0,-0.2,0.0,0.2,-0.2,-0.2,0.0,0.0,0.0,-0.2,0.0,0.0,0.2,-0.4,0.0,-0.2,0.4,-0.4,0.0,0.6,0.0,-1.0,0.4,0.0,0.4,0.4,-0.4,0.2,0.2,0.4,0.4,-0.4,0.0,-0.4,-0.4,-0.2,-0.4,0.0,0.2,0.2,0.2,-0.2,0.2,0.0,0.4,0.8,-0.2,-0.4,0.2,0.2,-0.2,-0.2,0.4,-0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.8,-0.4,0.6,0.0,-0.8,0.0,0.2,-0.4,-0.8,0.4
sit_4497,0.2,0.0,0.0,-0.6,0.0,-0.4,0.0,-0.6,0.0,0.2,0.0,-0.6,-0.2,-0.6,-0.6,-0.2,0.0,-0.2,-0.2,0.0,-0.4,-0.6,0.2,-0.2,0.0,0.6,-0.4,0.2,-0.6,0.0,-0.2,0.2,-0.2,0.0,0.6,-0.2,0.0,0.0,-0.2,-0.2,-0.6,0.2,0.6,-0.2,0.6,0.0,0.2,0.2,0.4,0.6,-0.4,0.0,0.2,0.2,0.2,0.0,0.6,0.6,0.0,0.2,0.6,0.0,0.0,0.0,0.2,1.0,-0.8,0.4,0.4,0.0,0.6,0.4,-0.4,0.0,-0.2,0.6,-0.4,-0.2,0.2,0.4,-0.2,0.6,-0.4,-0.2,-0.2,0.0,0.4,-0.4,0.0
sit_4498,-0.2,0.0,-0.2,-0.2,0.2,-0.2,0.2,0.2,0.0,0.2,0.0,0.2,-0.2,0.0,-0.2,0.4,-0.6,-0.2,0.0,0.0,0.2,0.0,0.0,0.0,-0.2,0.0,-0.2,0.0,0.2,-0.4,-0.2,-0.2,0.0,-0.2,0.0,-0.2,0.0,-0.2,0.0,0.2,0.0,0.2,-0.2,0.4,0.0,-0.2,0.2,-0.2,0.2,-0.2,0.2,0.0,0.2,-0.4,0.4,0.4,0.4,0.2,0.8,0.2,0.2,0.0,0.4,0.0,-0.6,0.0,-0.4,0.0,-0.2,-0.4,0.0,0.0,0.4,-0.4,0.0,0.4,0.0,-0.6,0.0,-0.4,0.0,0.0,-0.4,0.4,0.2,-0.2,0.0,1.0,0.2
sit_4499,-0.4,0.0,0.4,-1.2,-1.0,1.2,0.0,0.0,-0.2,0.6,0.4,-0.4,-1.0,-0.2,-0.6,0.0,0.4,-0.8,-0.8,0.0,0.0,0.2,0.0,-0.4,0.0,0.0,-0.4,0.2,-0.8,0.2,0.0,1.2,-0.4,0.6,-0.4,0.6,0.0,0.6,-0.4,-0.2,-0.4,0.2,-0.4,-0.2,-0.2,-0.6,0.4,0.4,-0.2,0.6,0.2,0.8,-0.6,0.2,-0.8,0.2,0.0,-0.8,0.2,-0.2,0.0,0.8,0.0,0.2,-1.0,0.6,0.2,0.0,0.2,-0.2,0.4,0.0,0.2,0.0,0.4,0.4,0.0,-0.4,0.6,0.0,0.0,0.2,-0.2,-0.2,0.4,0.2,0.4,0.0,0.0
sit_4500,-0.2,0.4,-0.2,-0.2,-0.6,-0.6,0.0,0.6,0.0,0.2,-0.4,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.4,0.2,-0.2,0.2,0.6,-0.8,0.4,-0.4,0.2,0.4,-0.4,0.0,-0.2,0.2,-0.4,0.4,0.2,0.0,-0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.0,-0.2,-0.2,0.0,0.6,0.6,0.4,-0.2,0.2,-0.2,0.2,-0.6,0.0,0.8,0.4,0.0,-0.2,-0.4,0.0,0.0,0.2,0.0,-0.2,-0.2,0.2,-0.4,-0.4,0.8,-0.4,-0.4,0.2,0.6,0.0,-0.4,0.0,-0.4,0.4,0.4,0.0,0.8,-0.2,0.0
sit_4501,0.6,0.0,-0.4,0.0,0.0,-0.4,0.0,-0.4,-0.4,0.0,0.0,0.0,-0.4,0.4,0.0,0.4,0.0,-0.8,1.4,1.4,0.8,0.2,-0.8,0.0,0.4,0.0,0.0,-0.4,-0.8,0.8,-0.4,-0.4,0.4,0.8,-0.4,0.0,0.0,0.0,0.4,-0.2,-1.4,0.6,0.4,0.0,0.8,0.4,1.0,0.8,0.6,0.0,-1.2,-0.2,-0.4,-0.4,-0.8,-0.4,-0.6,-0.6,-0.2,0.0,0.2,0.0,0.0,-0.8,-0.4,0.4,-0.2,-0.8,0.0,0.0,0.6,0.0,0.0,0.2,0.2,0.2,-0.2,0.0,0.0,-0.2,-0.4,0.4,0.4,-0.6,0.4,-0.2,-0.2,0.0,0.0
sit_4502,0.2,0.2,0.2,0.2,0.6,0.6,0.4,-0.2,0.0,0.0,0.2,0.8,-0.6,0.0,0.2,0.0,1.0,-0.2,0.2,0.0,0.4,-0.2,0.0,0.2,0.0,0.4,0.0,0.4,0.2,0.0,-0.4,0.4,0.0,0.6,0.0,0.0,0.4,0.0,0.2,0.0,-0.4,0.8,0.2,0.0,0.0,-0.2,0.2,0.0,0.6,0.4,0.0,-0.4,-0.2,0.2,0.8,-0.4,-0.2,0.2,0.8,0.4,-0.2,-0.2,-0.4,-0.2,-0.8,0.2,0.2,-0.2,0.4,0.0,-0.2,0.0,-0.2,0.0,-0.2,0.6,0.2,-0.6,0.4,0.0,-0.8,0.0,-0.2,-1.0,-0.6,-0.6,-1.0,-0.4,0.8
sit_4503,0.2,-0.2,-0.2,-0.2,0.0,-0.4,0.2,-0.2,0.0,0.0,-0.4,0.0,-0.4,0.0,-0.2,0.0,0.0,0.0,0.0,-0.2,-0.2,0.2,0.0,0.4,0.4,1.0,-0.4,0.0,0.8,-0.2,0.8,0.2,0.0,0.4,-1.0,-0.2,0.4,0.6,-0.2,-0.4,-0.6,-0.2,-0.6,0.0,-1.0,-0.4,0.2,-0.4,0.2,0.2,-0.2,-0.4,-0.2,-0.4,0.8,0.0,0.0,0.4,0.0,-0.4,-0.2,0.0,0.0,0.0,-0.2,-0.4,-0.4,0.0,0.0,0.6,0.0,0.4,0.0,0.6,-0.2,0.2,0.2,-0.2,0.2,-0.4,0.0,-0.4,-0.8,-0.2,0.2,-0.2,0.2,0.4,1.0
sit_4504,0.2,-0.4,0.2,0.2,0.0,0.0,0.2,0.0,-0.4,-0.2,-0.4,0.4,-0.4,0.0,-0.4,-0.2,0.0,-0.4,-0.2,-0.4,-0.4,0.2,0.0,-0.2,-0.4,-0.2,-0.2,0.8,0.2,0.0,-0.4,1.2,-0.6,0.4,-0.2,-0.2,-0.2,0.0,0.0,0.0,-0.6,-0.4,-0.4,0.4,-0.4,-0.2,0.2,-0.4,-0.6,0.0,0.2,-0.2,-0.4,0.2,0.6,-0.2,0.4,0.0,-0.2,0.0,0.0,0.0,0.0,-0.2,-0.8,0.4,0.8,0.0,0.4,-0.4,0.2,0.2,0.6,-0.2,-0.4,-0.2,-0.2,0.0,0.8,-0.4,0.6,0.8,-0.6,0.0,0.0,0.8,0.0,0.6,-0.2
sit_4505,0.2,-0.4,0.0,0.0,0.0,-0.2,0.2,0.4,0.2,0.0,-0.4,0.4,-0.4,-0.2,0.0,0.0,-0.2,0.2,0.2,0.0,0.0,0.8,0.0,-0.2,-0.4,0.4,-0.4,-0.6,-0.2,0.0,0.0,-0.4,-0.2,-0.4,0.2,0.0,0.4,-0.4,0.0,-1.0,-0.8,0.6,0.0,0.8,0.0,0.8,0.0,-0.4,0.0,0.0,0.8,-0.8,0.0,-0.4,0.4,0.0,0.0,-0.8,0.4,-0.4,-0.6,-0.2,0.4,0.0,0.4,-0.2,-0.8,-0.4,-0.6,1.2,-0.4,0.0,0.8,1.4,0.0,0.4,0.0,-0.4,0.4,0.0,-0.8,0.2,0.4,-0.6,0.0,0.0,0.0,0.0,0.4
